SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
It Must Be HimVikki Carr,171760.0,0,0.4939999999999999,0.4719999999999999,4.0,-10.02,1.0,0.0533,0.786,3.2e-05,0.682,0.746,108.482,4.0,1.417689,-1.0867227,-0.47396395,2.0947976,-0.27559566,-0.2117988,-1.3814212,-2.1855211,-1.0381197,-0.4252132,-0.5962569,-0.80509436,2.2619152,-1.6894377,-0.73019195,-1.299511,1967-09-02,1967-12-09,3,15,1
I Can't Stay Away From YouThe Impressions,166466.0,0,0.648,0.253,1.0,-11.456,1.0,0.0296,0.53,0.0,0.0772999999999999,0.503,81.034,3.0,-0.012020767,-0.09489012,-0.027649134,-0.33403566,0.5168964,0.20272693,0.5658318,-0.4692603,-0.16024555,-0.06550529,-0.3894953,0.20852728,-0.12946244,0.3375154,-0.03923562,-0.7387189,1967-09-02,1967-09-23,80,4,0
DandelionThe Rolling Stones,212293.0,0,0.467,0.768,5.0,-7.623,1.0,0.0334,0.199,0.0,0.3459999999999999,0.66,115.398,4.0,-0.06009655,-0.30932695,0.20967224,-0.4081398,-0.7679184,0.41503182,0.4374512,-0.07269692,-0.7015915,0.055532534,-0.11022385,-0.296732,0.22637591,-0.26391432,-0.6168416,-0.36460152,1967-09-09,1967-10-28,14,8,0
You've Made Me So Very HappyBrenda Holloway,173226.0,0,0.52,0.43,7.0,-11.049,1.0,0.0291,0.194,0.0,0.196,0.822,98.37,4.0,0.12922476,0.07158784,0.7236282,-0.4267001,-0.031011641,-0.23086406,0.09969976,-0.9276226,-0.2588898,-0.012563348,-0.20754968,-0.38079712,0.59309465,0.5301381,-0.4723636,-0.16859333,1967-09-09,1967-11-11,39,10,0
I'll Never Fall In Love AgainTom Jones,251093.0,0,0.338,0.3489999999999999,4.0,-11.439,1.0,0.0287,0.767,7.3e-05,0.11,0.3449999999999999,147.441,3.0,0.2905229,-0.511761,0.3726461,0.2569752,-0.6645547,0.43687335,-0.44563833,-0.7843602,-0.063142814,0.23137201,0.13294637,-0.3000687,0.4836823,-0.50942695,-0.33656463,-1.0690286,1967-09-09,1969-11-08,6,23,1
JudyElvis Presley,132400.0,0,0.6169999999999999,0.455,7.0,-12.979,1.0,0.0295,0.8269999999999998,0.000429,0.308,0.962,141.082,4.0,-0.71492213,-1.6227444,-0.19843851,0.32356748,1.258369,0.20821057,0.20013301,-0.39049926,-0.605956,-0.4458244,-0.8720321,0.6721599,0.6890293,-0.87335366,-0.29145142,-0.62423074,1967-09-09,1967-10-07,78,5,0
WednesdayThe Royal Guardsmen,131066.0,0,0.549,0.526,7.0,-10.616,1.0,0.0264,0.812,7e-06,0.0997,0.655,112.349,4.0,0.45013416,0.54100376,-0.48668447,2.1990173,0.055436946,-0.3580291,2.6523468,-0.35637292,-0.6074138,-0.66797006,-0.12245297,0.53199226,1.238095,-1.0893617,0.5354411,0.15807027,1967-09-09,1967-09-16,97,2,0
You're A Very Lovely WomanThe Merry-Go-Round,172506.0,0,0.433,0.399,9.0,-9.866,0.0,0.0312,0.631,2e-06,0.13,0.4819999999999999,124.338,4.0,2.308388,0.1990975,-0.01319653,0.5896543,-0.07332423,-1.117874,1.3663878,0.051431242,0.15389362,0.19624303,0.6201108,-0.7262933,-0.49500486,0.42915136,-0.49201375,0.25914767,1967-09-09,1967-09-23,94,3,0
Soul ManSam & Dave,159000.0,0,0.79,0.41,0.0,-13.241,1.0,0.0343,0.263,0.00314,0.1739999999999999,0.815,112.345,4.0,-1.361907,-0.619684,-0.17763703,0.57557726,0.8664901,-0.618881,-0.25808725,0.48939472,-1.2085592,-0.06350899,1.0835637,0.24901234,-0.12972468,0.5032525,1.1461914,-0.36491013,1967-09-09,1967-12-16,2,15,1
Your Precious LoveMarvin Gaye & Tammi Terrell,187266.0,0,0.4289999999999999,0.265,10.0,-14.701,1.0,0.0359,0.245,0.0,0.0884,0.663,203.018,3.0,-0.1301158,-0.46018443,0.28479487,-0.77689815,0.26736754,-0.010691775,0.019033145,-1.0161065,-0.21273096,-0.28974584,-0.44587106,-0.024347449,0.92521966,-0.00466041,-0.54814255,-0.7917183,1967-09-09,1967-12-02,5,13,0
To Sir With LoveLulu,166693.0,0,0.546,0.399,4.0,-9.378,1.0,0.027,0.3609999999999999,3e-06,0.0995,0.3009999999999999,97.142,4.0,0.009996292,-0.5912443,-0.11153147,0.2336344,-0.35234728,0.6297094,1.393228,-0.5119041,0.26736858,-0.14844953,-0.24225712,0.17300734,-0.4140202,-0.41488186,0.5406226,0.021510553,1967-09-09,1967-12-30,1,17,1
Our SongJack Jones,174226.0,0,0.2929999999999999,0.4189999999999999,9.0,-9.559,1.0,0.0286,0.511,5e-06,0.0466,0.49,82.14,3.0,0.08459824,-0.26906133,-0.03678046,0.9654039,-0.2710628,-0.11181764,-0.36459947,-0.77980417,-0.30137306,0.28893375,0.008494154,-0.28035843,0.41818178,-0.4983958,-0.473088,-0.32972604,1967-09-09,1967-09-16,92,2,0
Spreadin' HoneyThe Watts 103rd Street Rhythm Band,148226.0,0,0.774,0.545,10.0,-11.445,1.0,0.0382,0.1809999999999999,0.171,0.0515,0.782,112.684,4.0,0.1948756,0.481531,0.26635602,-0.22349206,0.70093316,-0.38004243,-0.037998214,-0.5136633,-0.5925249,0.05206731,-0.49255866,0.33707678,0.69236225,-0.18498254,0.12613687,-1.3672714,1967-09-09,1967-11-11,73,10,0
Let Love Come Between UsJames & Bobby Purify,145466.0,0,0.675,0.521,9.0,-10.001,1.0,0.0275,0.4939999999999999,0.0,0.3479999999999999,0.907,136.307,4.0,-0.17593354,-0.19212273,-0.021566264,-0.30309004,0.97008324,0.10284385,0.3099446,0.3880724,-0.38708213,0.26074263,-0.0732535,-0.12225774,-0.1352504,0.2299073,0.33240503,-0.10327532,1967-09-09,1967-11-04,23,9,0
Hey JoeCher,208573.0,0,0.499,0.401,2.0,-10.038,1.0,0.0263,0.443,0.0,0.16,0.4829999999999999,76.93899999999998,4.0,-0.4580835,-0.21682753,0.32558173,0.43353993,0.7309483,-1.0415547,0.3780602,0.56730354,-0.3824441,-0.8754259,0.9453174,-0.23668891,-0.54022527,-0.030226767,1.165232,-0.44972593,1967-09-09,1967-09-16,94,2,0
Hey Baby (They're Playing Our Song)The Buckinghams,165733.0,0,0.4689999999999999,0.523,5.0,-12.979,1.0,0.0828,0.228,0.0,0.3,0.781,138.861,4.0,0.4120248,-0.39209738,-0.24697173,0.2793061,-0.06910405,-0.45666283,1.3661336,0.22058272,0.55905306,-0.23734105,0.084936395,0.3796977,-0.5082663,0.03564831,0.32248753,0.68346745,1967-09-09,1967-11-11,12,10,0
How Can I Be SureThe Young Rascals,175075.0,0,0.231,0.455,2.0,-8.06,1.0,0.0296,0.8409999999999999,0.0,0.0823,0.391,166.705,3.0,-0.20690818,-0.41911253,-0.010628819,0.17026752,-0.109984085,-0.19395916,1.2982191,0.616742,0.6680965,-0.015994549,0.2176443,0.5161133,-0.60523367,0.3255235,0.39529628,0.37285176,1967-09-09,1967-11-18,4,11,0
You Keep Running AwayFour Tops,170840.0,0,0.544,0.873,3.0,-4.791,1.0,0.0396,0.0714,0.0,0.19,0.881,98.354,4.0,0.049587347,-0.21718279,-0.32704458,0.06924412,0.1557761,0.3474161,0.025101209,-0.8702636,-0.54280734,-0.114859365,-0.51193666,0.10088603,0.17841606,-0.13463232,0.03511989,-0.9736128,1967-09-16,1967-11-04,19,8,0
Time SellerThe Spencer Davis Group,178186.0,0,0.222,0.5919999999999999,7.0,-8.022999999999998,1.0,0.0333,0.0188,2e-06,0.267,0.401,93.31,4.0,-0.29196167,-0.48771468,-0.052322578,-0.32484952,-0.7449149,0.30857116,0.7155509,-0.22852786,-0.356565,-0.23223957,-0.02644829,-0.01151483,-0.26191932,-0.6506077,-0.16852401,-0.20269127,1967-09-16,1967-09-16,100,1,0
Louisiana ManPozo Seco Singers,139920.0,0,0.647,0.4819999999999999,1.0,-10.712,1.0,0.0343,0.0763999999999999,0.000151,0.12,0.6139999999999999,94.077,4.0,-0.79120684,0.3936836,-0.7109112,-1.02366,-0.19449736,1.9856235,-0.50797325,0.7164774,2.1863863,0.01448989,-0.4653176,0.5697785,0.26146153,-1.0825742,0.70671576,2.0789785,1967-09-16,1967-09-30,97,3,0
We Love YouThe Rolling Stones,276960.0,0,0.265,0.78,4.0,-6.959,1.0,0.0392,0.00254,0.134,0.319,0.4769999999999999,112.482,4.0,-0.06009655,-0.30932695,0.20967224,-0.4081398,-0.7679184,0.41503182,0.4374512,-0.07269692,-0.7015915,0.055532534,-0.11022385,-0.296732,0.22637591,-0.26391432,-0.6168416,-0.36460152,1967-09-16,1967-10-21,50,6,0
Let It Out (Let It All Hang Out)The Hombres,124080.0,0,0.6039999999999999,0.505,9.0,-12.404,1.0,0.0487,0.1459999999999999,0.000286,0.0975,0.7069999999999999,121.588,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1967-09-16,1967-12-09,12,13,0
I'm A Fool For YouJames Carr,120586.0,0,0.4069999999999999,0.55,10.0,-5.03,1.0,0.0753999999999999,0.517,0.0,0.078,0.807,200.231,4.0,0.62836456,0.41531992,-0.26340923,0.0541085,0.06492065,-0.24471335,-0.36427203,-0.6155227,-0.5492636,0.20792107,0.03833434,0.1556828,0.059650164,0.73070127,-0.77452934,-0.4524232,1967-09-23,1967-10-07,97,3,0
Fall In Love With MeBettye Swann,176840.0,0,0.4839999999999999,0.525,10.0,-8.92,1.0,0.109,0.5809999999999998,0.0,0.16,0.82,168.236,3.0,0.83627737,0.50996614,-0.40074506,-0.10124912,0.023765052,-0.681188,-0.11607774,-0.6526629,-0.58515817,-0.1979799,-0.1919643,0.33296564,0.5700621,0.18114737,-0.5134722,-0.7814357,1967-09-23,1967-10-21,67,5,0
Dancing In The StreetRamsey Lewis,307757.0,0,0.622,0.528,0.0,-11.19,0.0,0.0492,0.7169999999999999,0.79,0.886,0.8,140.734,4.0,-0.60283285,0.6433892,0.22300157,-0.25393894,0.5735038,1.4813939,0.06195626,1.4166237,0.83225054,0.8341454,-0.42778507,0.4105675,-1.4111992,1.808237,-0.24517037,-0.29451558,1967-09-23,1967-10-14,84,4,0
Why Do Fools Fall In LoveThe Happenings,169133.0,0,0.259,0.37,5.0,-10.173,1.0,0.0284,0.808,2e-06,0.161,0.5819999999999999,102.752,4.0,-0.11146907,-0.51555574,-0.12609982,0.48419753,-0.04010691,0.12358419,1.9094654,0.1505156,0.31443277,-0.46704736,-0.49944425,0.70156574,-0.68134946,-0.1659426,0.8455573,0.803508,1967-09-23,1967-10-28,41,6,0
Child Of ClayJimmie Rodgers,250226.0,0,0.451,0.3479999999999999,11.0,-13.621,1.0,0.0306,0.679,1.3e-05,0.116,0.456,97.521,4.0,0.17076468,-0.3548931,0.18701477,-0.21644874,0.2853793,-0.74755096,-0.4408227,-0.80885756,0.36660624,-0.1281574,-0.24113007,-0.16366756,-0.049731374,0.016041398,0.09475593,-0.03481735,1967-09-23,1967-11-11,31,8,0
The Last WaltzEngelbert Humperdinck,184186.0,0,0.396,0.444,2.0,-11.303,1.0,0.0302,0.696,1e-06,0.201,0.4,108.189,3.0,0.32724074,-0.20803927,-0.37829205,0.45992523,-0.18404636,-0.090191856,-0.52731764,-0.5603528,0.30171528,0.09408746,0.011654876,-0.059468836,0.41832674,-0.4654897,-0.055111043,-0.252297,1967-09-23,1967-11-18,25,9,0
To Share Your LoveFantastic Four,203760.0,0,0.2819999999999999,0.464,6.0,-7.405999999999999,1.0,0.0296,0.271,9e-06,0.0938,0.4759999999999999,71.74,4.0,0.34583166,0.0528011,0.533659,-0.578094,0.07950474,-0.40257573,0.29274583,-1.1187654,-0.62313604,-0.19493389,0.36575547,-0.2905523,0.3785389,0.59859216,-0.8682054,-0.8909994,1967-09-23,1967-10-21,68,5,0
Funky DonkeyPretty Purdie,178093.0,0,0.4139999999999999,0.935,0.0,-11.373,1.0,0.0933,0.151,0.779,0.1419999999999999,0.6,171.961,4.0,-0.71681064,1.0215651,-0.22316396,0.42937925,-0.16086076,0.64631975,0.2353123,-0.0936307,0.18228051,-0.017517462,-0.5224693,0.17148873,-0.7523034,1.2913014,0.476808,0.046180047,1967-09-23,1967-10-07,87,3,0
Lightning's GirlNancy Sinatra,176053.0,0,0.56,0.647,9.0,-3.862,1.0,0.0287,0.647,0.0,0.127,0.54,92.194,4.0,0.3271688,-0.52325016,-0.6002336,0.2652844,-0.27395126,-0.62373984,-0.63330615,-0.510788,0.38680857,-0.060537316,0.09761352,0.32482803,0.45178562,-0.017533794,-0.09704835,0.060691617,1967-09-23,1967-11-04,24,7,0
Dirty ManLaura Lee,175640.0,0,0.53,0.465,2.0,-6.231,1.0,0.0331,0.316,2.4e-05,0.0893999999999999,0.676,167.194,3.0,0.19566289,0.794492,-0.530038,0.16755722,0.21051532,-0.18304533,0.8517003,-0.22481605,-0.3696885,-0.2554646,-0.9430952,0.3786065,0.13103354,-0.8500806,1.058214,-0.92761886,1967-09-23,1967-11-04,68,7,0
For What It's WorthThe Staple Singers,144320.0,0,0.763,0.621,2.0,-9.908,1.0,0.0374,0.655,0.0,0.158,0.8249999999999998,103.309,4.0,-0.2863494,-0.06639656,0.12990403,-0.07695486,0.54324734,0.54062593,0.21935602,-0.34260964,-0.35786724,0.4242754,-0.41100264,0.1492867,-0.56004065,0.5620634,0.22131446,-0.6634728,1967-09-23,1967-10-14,66,4,0
People Are StrangeThe Doors,130173.0,0,0.699,0.467,4.0,-8.577999999999998,0.0,0.0375,0.685,0.0,0.315,0.764,119.287,4.0,-0.3822468,-0.05684595,-0.70329297,-1.0478818,-0.22938721,0.5238889,0.6060756,0.51963425,-1.3594139,0.30973813,0.047432125,-0.12727019,0.14935435,0.05262471,-0.047066517,-0.20617437,1967-09-23,1967-11-18,12,9,0
Nine Pound SteelJoe Simon,165253.0,0,0.56,0.26,7.0,-14.841,1.0,0.0315,0.896,0.000636,0.137,0.566,88.04099999999998,3.0,0.28383842,0.32873186,0.3926949,0.054534845,-0.15961565,-0.82958525,0.28491655,-0.31337312,-0.36833376,-0.26946545,-0.27646348,0.025495792,0.6593475,-0.10351992,-0.106878854,-0.88197136,1967-09-23,1967-11-18,70,9,0
"The Rain, The Park & Other ThingsThe Cowsills",184240.0,0,0.394,0.68,11.0,-8.733,1.0,0.0386,0.805,0.00265,0.687,0.667,131.298,4.0,-0.05766206,-0.3495849,-0.3941697,-0.04479215,-0.04743737,-0.12410772,1.0487217,0.1653261,0.79944754,-0.12985195,-0.29611835,0.52947086,-0.31133276,0.19222811,0.4381525,0.6828205,1967-09-30,1968-01-13,2,16,1
Incense And PeppermintsStrawberry Alarm Clock,167453.0,0,0.4929999999999999,0.652,4.0,-11.11,1.0,0.031,0.0362,0.0,0.0839,0.668,133.17,4.0,0.19043806,0.25258476,-0.34698695,0.1918633,0.02971961,-0.34461418,0.711816,0.15364102,-0.1115468,-0.014512902,0.355884,0.62558573,0.2924634,-0.30415028,-0.21673384,0.22144708,1967-09-30,1968-01-13,1,16,1
Love Is StrangePeaches & Herb,156781.0,0,0.273,0.399,4.0,-14.154,0.0,0.0288,0.5969999999999999,0.0208,0.4109999999999999,0.7269999999999999,185.725,3.0,0.54404324,0.24089661,-0.27655768,0.39656693,0.37491542,0.8009907,0.018141603,0.07441316,-0.52053225,0.0486071,0.47656217,-0.49375787,0.4934559,-0.19648986,0.2928638,1.1332028,1967-09-30,1967-11-25,13,9,0
HolidayBee Gees,175893.0,0,0.4879999999999999,0.157,9.0,-14.23,0.0,0.0294,0.921,0.0,0.1,0.188,104.472,4.0,0.5078049,-0.04694929,-0.24581443,0.871843,-0.16693556,0.19592384,-0.3601526,-0.3596244,-0.33379963,-0.28720123,0.020885805,-0.094612546,0.37038636,-0.31735587,0.21463253,-0.95609,1967-09-30,1967-11-25,16,9,0
HushBilly Joe Royal,158160.0,0,0.5879999999999999,0.523,8.0,-11.321,1.0,0.233,0.6079999999999999,0.0,0.123,0.5779999999999998,105.553,4.0,0.0247759,0.008721024,-0.34357437,0.14537193,0.4602406,-0.07064822,1.0967711,0.09541471,-0.2257492,-0.6413646,0.09802392,0.32042405,-0.63579464,-0.23106542,0.6205298,0.91538984,1967-09-30,1967-11-18,52,8,0
When The Snow Is On The RosesEd Ames,156800.0,0,0.2369999999999999,0.386,7.0,-8.774,1.0,0.028,0.324,5e-06,0.0652,0.233,109.046,4.0,0.75205994,-0.21939811,-0.21478008,1.1138223,-0.033925667,0.19310024,-0.61079174,-0.89192235,0.15979034,0.10573991,0.1814062,-0.91109854,1.0629005,-1.6171716,-0.49733177,-0.90190005,1967-09-30,1967-10-07,98,2,0
Even The Bad Times Are GoodThe Tremeloes,156266.0,0,0.391,0.796,7.0,-4.706,1.0,0.0338,0.00489,0.0,0.3459999999999999,0.781,140.708,4.0,0.49282247,-0.48996982,-0.38768488,0.6844036,-0.43649507,0.42504954,0.6612351,-1.0517727,-0.0030898093,-0.13084567,-0.2023448,-0.092143215,0.39231172,-0.70999324,0.23592806,-0.46941215,1967-09-30,1967-11-11,36,7,0
What've I Done (To Make You Mad)Linda Jones,138853.0,0,0.4939999999999999,0.5889999999999999,1.0,-8.208999999999998,0.0,0.0284,0.55,0.0,0.248,0.769,79.48,4.0,0.21388713,0.20392549,0.37007305,-0.31899285,-0.15394291,-0.49813962,0.29408997,-1.0542585,-0.40419516,-0.34705514,-0.21822539,-0.21649045,0.86652756,0.039058924,0.06403595,-0.4743594,1967-09-30,1967-11-04,61,6,0
Please Love Me ForeverBobby Vinton,157533.0,0,0.455,0.265,6.0,-11.402,0.0,0.029,0.6149999999999999,1e-05,0.2369999999999999,0.278,76.00499999999998,4.0,0.35181943,-0.05823066,-0.39997053,0.80774367,-0.13614969,-0.14375931,0.10861526,-0.5195568,0.11988946,-0.05832404,-0.015166676,0.058823396,0.5822804,-0.590264,0.06299939,-0.17022355,1967-09-30,1967-12-23,6,13,0
A Natural Woman (You Make Me Feel Like)Aretha Franklin,166812.0,0,0.65,0.323,0.0,-8.698,1.0,0.0283,0.2129999999999999,0.0,0.187,0.276,110.962,3.0,-0.057995487,0.95022744,0.1079571,0.39343256,-0.05347537,-0.34377456,-0.23580568,-0.7165159,-0.68121797,0.45287633,-0.3653142,-0.0048620226,0.0060698153,0.35610512,0.28681043,-0.41511232,1967-09-30,1967-11-25,8,9,0
Everlasting LoveRobert Knight,179493.0,0,0.6179999999999999,0.442,9.0,-13.154,1.0,0.0313,0.624,0.0291,0.106,0.403,116.113,4.0,-0.30398905,0.109161325,1.1035665,-0.12391221,-0.2520444,0.11255925,-0.2863924,-0.5453372,0.4696027,0.35217774,-1.35416,-0.56128675,1.0222062,0.39322984,0.31932005,1.2762188,1967-09-30,1967-12-16,13,12,0
Pata PataMiriam Makeba,180174.0,0,0.809,0.882,3.0,-3.544,1.0,0.0356,0.378,0.0,0.0758999999999999,0.969,126.046,4.0,-0.354709,-0.2590559,0.013269996,-0.45493945,-0.19059342,-0.20889838,-0.0713221,0.24174294,-0.19946977,-0.67794436,-0.28719863,-0.18214992,-0.26939684,0.77236724,-0.32639432,-0.08023207,1967-10-07,1967-12-16,12,11,0
You Mean The World To MeDavid Houston,135640.0,0,0.5849999999999999,0.377,5.0,-13.253,1.0,0.0407,0.8559999999999999,0.053,0.105,0.4309999999999999,120.386,3.0,0.28717914,-0.7075287,-0.3361462,-0.5998008,-3.07788,0.5743218,0.27062646,-0.010079107,-0.69460577,-1.0481986,-1.0678817,-1.7733641,0.86964923,0.17561853,0.6508296,-1.2647802,1967-10-07,1967-11-18,75,7,0
King Midas In ReverseThe Hollies,182293.0,0,0.554,0.453,0.0,-9.893,1.0,0.0255,0.25,0.0,0.154,0.751,98.27,4.0,0.10964755,-0.07681264,-0.21625707,-0.058949184,-0.66919285,0.33669457,0.69633037,-0.06054031,-0.37867013,-0.27624765,-0.2763986,-0.06822544,-0.24955884,-0.19274771,0.42914015,0.07806744,1967-10-07,1967-11-04,51,5,0
Boogaloo Down BroadwayThe Fantastic Johnny C,154173.0,0,0.802,0.675,10.0,-5.811,1.0,0.0424,0.7039999999999998,0.0,0.0631,0.962,130.7,4.0,-1.0473827,-1.3412269,1.6520675,1.4135299,-1.3504916,-0.8530386,0.82792836,0.9821036,-0.69126886,-0.34298733,-0.88384837,-0.81613547,0.77239954,-0.017559556,-0.21505113,-1.3633118,1967-10-07,1968-02-03,7,18,1
I'm WonderingStevie Wonder,173360.0,0,0.6169999999999999,0.917,1.0,-4.322,1.0,0.0772999999999999,0.0205,0.0,0.0869999999999999,0.814,106.405,4.0,0.8433863,-0.06632519,-0.5100525,-0.18631919,-0.045225486,-0.6342883,-0.42570132,-0.9636936,0.2076445,-0.57820064,-0.42773134,0.2647891,1.2360132,-0.8315774,-0.7834679,-0.55066735,1967-10-07,1967-11-25,12,8,0
Heart Be StillLorraine Ellison,217200.0,0,0.268,0.46,10.0,-10.004,1.0,0.0395,0.4759999999999999,0.00347,0.4879999999999999,0.3049999999999999,181.346,3.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1967-10-07,1967-10-14,89,2,0
"Beg, Borrow And StealOhio Express",177440.0,0,0.538,0.8519999999999999,9.0,-8.715999999999998,1.0,0.1489999999999999,0.395,0.000164,0.1739999999999999,0.642,128.142,4.0,0.45013416,0.54100376,-0.48668447,2.1990173,0.055436946,-0.3580291,2.6523468,-0.35637292,-0.6074138,-0.66797006,-0.12245297,0.53199226,1.238095,-1.0893617,0.5354411,0.15807027,1967-10-07,1967-12-23,29,12,0
Shout BamalamaMickey Murray,137165.0,0,0.7,0.68,3.0,-7.421999999999999,1.0,0.0441,0.515,0.0,0.0864,0.973,159.594,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1967-10-07,1967-11-25,54,8,0
Shame On MeChuck Jackson,162453.0,0,0.3659999999999999,0.626,8.0,-7.356,1.0,0.0341,0.457,0.0105,0.18,0.394,100.631,4.0,0.5140721,0.0761293,-0.16696806,-0.12827231,-0.20987196,-0.4207222,-0.00013666153,-0.9862758,-0.6784343,-0.27475604,-0.26685077,-0.028949607,0.75841653,0.31240252,-0.3983748,-0.5516143,1967-10-14,1967-12-09,76,9,0
Kentucky WomanNeil Diamond,145466.0,0,0.635,0.678,11.0,-6.262,1.0,0.0384,0.2109999999999999,0.000406,0.112,0.7069999999999999,81.411,4.0,0.6896965,-0.29622516,-0.06488173,0.18559307,-0.026948813,-0.38917267,0.18132293,-0.27205962,0.47100744,-0.02781788,0.44179788,0.23993221,-0.16219378,0.19110012,-0.03775721,-0.14875391,1967-10-14,1967-12-02,22,8,0
Give Everybody SomeThe Bar-Kays,141866.0,0,0.671,0.462,9.0,-10.349,1.0,0.0378,0.0463,0.00337,0.203,0.559,128.597,4.0,-0.40314016,0.10703285,-0.26911798,-0.10932922,0.26489586,0.2234153,0.24844742,-0.60726917,-0.51347256,0.040803395,0.060582854,-0.14806287,-0.14260893,0.068607375,0.26792568,-0.59056324,1967-10-14,1967-11-04,91,4,0
Go With MeGene And Debbe,145200.0,0,0.7029999999999998,0.5939999999999999,0.0,-9.833,1.0,0.0342,0.0334,0.0,0.194,0.559,119.506,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1967-10-14,1967-11-18,78,6,0
Lazy DaySpanky And Our Gang,188040.0,0,0.513,0.5909999999999999,6.0,-6.747,1.0,0.0258,0.3589999999999999,0.0,0.5889999999999999,0.6149999999999999,75.735,4.0,-0.079970405,-0.24096291,-0.052625395,0.39360124,-0.03454665,-0.25463954,1.4557931,0.29938322,0.53092104,-0.4982315,-0.36919355,0.46735922,-0.8154074,0.13057521,0.40718824,0.54438907,1967-10-14,1967-12-23,14,11,0
(Loneliness Made Me Realize) It's You That I NeedThe Temptations,158733.0,0,0.555,0.37,0.0,-12.075,1.0,0.0311,0.559,0.0,0.253,0.965,116.912,4.0,0.012498105,-0.48135024,0.109007955,0.27580756,0.29937473,0.31149107,-0.22215624,-0.9766207,-0.58563805,0.17131253,-0.20306642,-0.10788886,0.17729428,0.27737245,-0.013362651,-0.8306589,1967-10-14,1967-12-09,14,9,0
Get DownHarvey Scales,167906.0,0,0.556,0.8629999999999999,1.0,-7.445999999999999,1.0,0.4069999999999999,0.00256,0.392,0.127,0.692,151.714,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1967-10-14,1967-11-18,79,6,0
Big Boss ManElvis Presley,172146.0,0,0.683,0.803,5.0,-11.94,0.0,0.1749999999999999,0.4859999999999999,0.00187,0.0567,0.803,96.109,4.0,-0.71492213,-1.6227444,-0.19843851,0.32356748,1.258369,0.20821057,0.20013301,-0.39049926,-0.605956,-0.4458244,-0.8720321,0.6721599,0.6890293,-0.87335366,-0.29145142,-0.62423074,1967-10-14,1967-11-18,38,6,0
I Can See For MilesThe Who,248618.0,0,0.3459999999999999,0.797,4.0,-7.804999999999999,1.0,0.0888,0.0399,2.2e-05,0.0728,0.196,130.91,4.0,0.014239693,-0.101816654,-0.22986099,-0.49817342,-0.6986831,0.100109816,-0.16665031,-0.022537583,-0.24329443,0.19415618,-0.046612453,-0.068575844,-0.42117444,0.09160133,-0.2404356,-0.013187289,1967-10-14,1967-12-23,9,11,0
Different StrokesSyl Johnson,139666.0,0,0.8349999999999999,0.7429999999999999,2.0,-9.621,1.0,0.0921,0.1,0.0112,0.194,0.783,108.067,4.0,-0.06732203,0.48818773,0.2765239,0.0427611,0.7906556,0.31921577,-0.113364816,-0.1768837,-0.41797847,0.61547506,-0.49093586,0.18853529,-0.24147399,0.34837133,-0.07150898,-0.8575207,1967-10-14,1967-10-21,95,2,0
I Heard It Through The GrapevineGladys Knight And The Pips,165893.0,0,0.693,0.566,5.0,-11.611,1.0,0.0442,0.218,1.5e-05,0.1789999999999999,0.9,112.337,4.0,0.049587347,-0.21718279,-0.32704458,0.06924412,0.1557761,0.3474161,0.025101209,-0.8702636,-0.54280734,-0.114859365,-0.51193666,0.10088603,0.17841606,-0.13463232,0.03511989,-0.9736128,1967-10-21,1968-02-10,2,17,1
"Sweet, Sweet Lovin'The Platters",117266.0,0,0.7069999999999999,0.624,10.0,-10.309,1.0,0.0426,0.1729999999999999,0.0,0.113,0.973,146.696,4.0,-0.15634686,-0.4001053,-0.24305263,0.29329634,0.28659657,-0.0917174,-0.46459946,-0.3492579,-0.46082076,-0.29288602,-0.26081356,0.64247596,0.579773,-0.49913535,0.34707397,-0.22658794,1967-10-21,1967-12-02,70,7,0
