SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
Are You Really MineJimmie Rodgers,148533.0,0,0.7,0.195,1.0,-16.657,1.0,0.0322,0.749,0.0,0.0472,0.5799999999999998,101.858,4.0,0.17076468,-0.3548931,0.18701477,-0.21644874,0.2853793,-0.74755096,-0.4408227,-0.80885756,0.36660624,-0.1281574,-0.24113007,-0.16366756,-0.049731374,0.016041398,0.09475593,-0.03481735,1958-08-02,1958-10-25,10,13,0
FeverPeggy Lee,202506.0,0,0.794,0.0715,7.0,-21.305,1.0,0.131,0.388,0.0,0.111,0.333,68.331,4.0,0.43564835,0.12188716,-0.59497684,0.124806404,-0.28775853,-0.61850023,-0.710704,-0.3704006,0.27048263,0.20936485,-0.13127708,0.33609715,0.5468651,-0.20399925,-0.26980478,-0.24249049,1958-08-02,1958-10-18,8,12,0
Enchanted IslandThe Four Lads,181653.0,0,0.3459999999999999,0.552,2.0,-8.499,1.0,0.0344,0.681,0.0,0.334,0.371,84.64799999999998,4.0,0.9907241,-0.18998313,-0.8049862,0.894506,-0.008200049,-0.19887756,-0.67626256,0.26805744,0.22382514,0.12346691,-0.41733548,0.0374676,-0.30230975,-1.111355,-0.38136104,-0.67158955,1958-08-02,1958-09-13,29,7,0
You Need HandsEydie Gorme,147066.0,0,0.4309999999999999,0.39,2.0,-14.139,1.0,0.0637,0.333,6e-06,0.0962,0.51,125.896,4.0,0.87647176,-0.19594842,-1.1861337,0.66989005,-0.14978606,-0.4056358,-0.062130988,-1.2997797,0.5076465,-0.049802646,-0.2749128,0.22656804,0.8448708,-0.9903356,-0.007404655,-0.6855894,1958-08-02,1958-08-09,57,2,0
Itchy Twitchy FeelingBobby Hendricks,149533.0,0,0.5859999999999999,0.5969999999999999,2.0,-9.372000000000002,1.0,0.0628,0.815,0.0,0.0965,0.968,148.918,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-11-01,25,14,0
What Am I Living ForChuck Willis,146800.0,0,0.667,0.391,10.0,-8.711999999999998,1.0,0.0258,0.7279999999999999,0.0,0.0809,0.682,101.3,3.0,-0.41859084,0.16707128,-0.6330527,0.55421305,0.24794498,0.06891176,-0.31855908,-0.3711026,-1.2990594,-0.092457205,-0.518384,0.6206611,0.2685796,0.0962446,-0.026507616,-0.22348055,1958-08-02,1958-09-13,25,7,0
WhenKalin Twins,144573.0,0,0.646,0.5819999999999999,6.0,-12.679,1.0,0.0297,0.168,5e-06,0.976,0.963,96.49,4.0,-1.0021331,-0.26022136,0.17115444,-0.12018603,1.1884563,0.25008982,-0.02694453,0.44839907,-1.0766324,-0.60204345,-0.195809,1.2165761,0.544722,-1.0893118,0.8456712,-0.3140204,1958-08-02,1958-09-27,5,9,0
The FreezeTony And Joe,136720.0,0,0.5949999999999999,0.79,7.0,-10.604,1.0,0.117,0.677,0.00535,0.1029999999999999,0.914,149.457,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-09-06,33,6,0
I Wonder WhyDion & The Belmonts,141386.0,0,0.506,0.699,10.0,-3.834,1.0,0.0348,0.569,0.0,0.158,0.901,103.463,4.0,-0.4683342,-0.4540084,0.54550326,1.2039032,-0.6082549,-1.2566804,0.7288817,0.061655253,-0.16280848,0.15182477,0.5690578,0.37206882,-1.0282605,0.21221316,-0.38705355,-0.6227015,1958-08-02,1958-08-09,47,2,0
LeroyJack Scott,128653.0,0,0.644,0.621,9.0,-11.759,1.0,0.0697,0.8329999999999999,0.00757,0.0984,0.889,106.439,4.0,-0.7929876,-0.9361118,-0.3247028,-0.13958599,1.167892,0.18044075,0.5423382,0.8932703,-0.31896263,-0.043085318,-0.804547,0.986811,-0.5011098,-0.113188356,0.044636935,0.022664636,1958-08-02,1958-09-06,56,5,0
PatriciaPerez Prado And His Orchestra,140000.0,0,0.699,0.7149999999999999,1.0,-5.976,1.0,0.0391,0.18,0.4149999999999999,0.0704,0.81,137.373,4.0,0.7528372,-0.7211968,-0.9653495,-0.27659836,0.87891054,0.96499014,0.5788796,1.19947,-1.4602796,0.080800325,-0.4416341,0.7643891,0.14385605,-1.0810299,1.0443134,0.018627405,1958-08-02,1958-11-01,2,14,0
SecretlyJimmie Rodgers,157866.0,0,0.7039999999999998,0.467,10.0,-10.421,0.0,0.0328,0.8519999999999999,2e-06,0.109,0.3439999999999999,76.625,4.0,0.17076468,-0.3548931,0.18701477,-0.21644874,0.2853793,-0.74755096,-0.4408227,-0.80885756,0.36660624,-0.1281574,-0.24113007,-0.16366756,-0.049731374,0.016041398,0.09475593,-0.03481735,1958-08-02,1958-08-16,28,3,0
Endless SleepJody Reynolds,143693.0,0,0.5869999999999999,0.184,4.0,-10.737,1.0,0.0444,0.8289999999999998,1.7e-05,0.116,0.529,111.195,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-09-06,17,6,0
Western MoviesThe Olympics,140504.0,0,0.668,0.457,7.0,-7.138,1.0,0.0637,0.4929999999999999,0.0147,0.117,0.691,120.494,4.0,0.2494613,0.57915616,-0.50547737,0.46185163,0.3660517,-0.085233636,-0.5745819,0.03137636,-1.1639,-0.07600828,0.341179,0.14860292,0.6533015,0.39154628,-0.64951503,-1.0232886,1958-08-02,1958-10-18,8,12,0
