index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
11899,I'm Almost ReadyPure Prairie League,Pure Prairie League,I'm Almost Ready,"['classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock']",2jqPD4QMg03ZhzuLRlpjw9,https://p.scdn.co/mp3-preview/0389714805fab7ec020d7c5eac0e8761c3b4c044?cid=b8d3901151d34489a160e3cf0ab1fa94,243066.0,False,The Very Best of Pure Prairie League,0.518,0.823,9.0,-13.546,1.0,0.0396,0.0288,0.0147,0.134,0.899,150.564,4.0,16.0
11900,I'm Already TakenSteve Wariner,Steve Wariner,I'm Already Taken,"['country', 'country rock']",6SeIgkwEboWc9m11n36WWE,,199706.0,False,The Hits Collection: Steve Wariner,0.377,0.194,7.0,-12.026,1.0,0.0316,0.8609999999999999,5e-06,0.124,0.528,130.563,4.0,24.0
11901,I'm Already ThereLonestar,Lonestar,I'm Already There,"['contemporary country', 'country', 'country road']",34Vn9nKfztyLco9lJazy4j,https://p.scdn.co/mp3-preview/15b6c99a32e3c79acfb5c04a7e4c58f7674163e5?cid=b8d3901151d34489a160e3cf0ab1fa94,253373.0,False,I'm Already There,0.377,0.395,3.0,-8.622,1.0,0.0332,0.61,0.0,0.2949999999999999,0.221,133.296,4.0,61.0
11902,I'm AlrightJo Dee Messina,Jo Dee Messina,I'm Alright,"['contemporary country', 'country', 'country dawn', 'country road']",0MjT9xQqJrQlNrkWKZgFbQ,https://p.scdn.co/mp3-preview/f6e7d33cf6a0ded94b3512a99c74c2dcf225bcb8?cid=b8d3901151d34489a160e3cf0ab1fa94,199040.0,False,I'm Alright,0.676,0.7329999999999999,0.0,-7.745,1.0,0.0294,0.191,0.0,0.192,0.5909999999999999,98.234,3.0,59.0
11903,I'm AlrightKenny Loggins,Kenny Loggins,I'm Alright,"['album rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",7vJnM5FUcOV3xAKJHSSUWj,https://p.scdn.co/mp3-preview/add3b373ee0f0b524e48b6818ef74af488dbdfe0?cid=b8d3901151d34489a160e3cf0ab1fa94,226373.0,False,Yesterda,0.554,0.8329999999999999,7.0,-7.562,1.0,0.0459,0.128,2e-06,0.3,0.95,162.854,4.0,54.0
11904,I'm AwesomeSpose,Spose,I'm Awesome,"['comic', 'indie pop rap', 'pop rap']",1qsoQzhJM3eHiF6EFjajZL,,249160.0,True,I'm Awesome,0.6089999999999999,0.778,0.0,-5.492,1.0,0.3659999999999999,0.1489999999999999,1e-06,0.631,0.802,91.858,4.0,48.0
11905,I'm BackT.I.,T.I.,I'm Back,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,,,,
11906,I'm BadLL Cool J,LL Cool J,I'm Bad,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",0hioWv2FDtVePjHFTwgrf7,,279733.0,True,Bigger And Deffer,0.623,0.433,2.0,-15.387,1.0,0.245,0.0011,3e-06,0.4079999999999999,0.7069999999999999,179.197,4.0,49.0
11907,I'm Better Off Without YouThe Main Ingredient,The Main Ingredient,I'm Better Off Without You,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul', 'southern soul']",0rnEvQqcABTcsFOTKWgZ1o,https://p.scdn.co/mp3-preview/a2ee422092b594bf695bf72a51b87ca1fa3cfdcc?cid=b8d3901151d34489a160e3cf0ab1fa94,189573.0,False,Tasteful Soul,0.36,0.439,5.0,-9.23,1.0,0.0285,0.951,0.00349,0.245,0.4249999999999999,133.814,4.0,20.0
11908,I'm BetterMissy Elliott Featuring Lamb,Missy Elliott Featuring Lamb,I'm Better,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2Kf9fwIOwZwd6Aw7OxfkF0,https://p.scdn.co/mp3-preview/d097de460062166e4c99725c7ac6e22baa72ee58?cid=b8d3901151d34489a160e3cf0ab1fa94,213120.0,True,I'm Better,0.926,0.3539999999999999,10.0,-10.773,1.0,0.511,0.374,0.0,0.49,0.561,105.005,4.0,53.0
11909,I'm Blue (The Gong-Gong Song)The Ikettes,The Ikettes,I'm Blue (The Gong-Gong Song),[],,,,,,,,,,,,,,,,,,
11910,"I'm Comin' Home, CindyTrini Lopez",Trini Lopez,"I'm Comin' Home, Cindy","['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",0pgO3d7uwzBog8xWkNC6rs,https://p.scdn.co/mp3-preview/a19d051b41ddcdbf99eb4d81972844187e3c26a7?cid=b8d3901151d34489a160e3cf0ab1fa94,141626.0,False,Rhino Hi-Five: Trini Lopez,0.4729999999999999,0.7319999999999999,9.0,-11.376,1.0,0.0686,0.263,0.0,0.12,0.811,181.809,4.0,2.0
11911,I'm Comin' HomeDave Edmunds,Dave Edmunds,I'm Comin' Home,"['british blues', 'classic uk pop', 'power pop', 'pub rock', 'rock-and-roll', 'rockabilly', 'roots rock']",,,,,,,,,,,,,,,,,,
11912,I'm Comin' HomeTommy James,Tommy James,I'm Comin' Home,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']",3YvdhiEZRvRHFDBSIW5I7K,https://p.scdn.co/mp3-preview/ae7db1dc8299acfa2c5bc89d2ceef33489928f65?cid=b8d3901151d34489a160e3cf0ab1fa94,121173.0,False,Christian Of The World,0.567,0.667,0.0,-9.651,1.0,0.0294,0.0376,0.000126,0.222,0.7429999999999999,121.364,4.0,6.0
11913,I'm Comin' On On Back To YouJackie Wilson,Jackie Wilson,I'm Comin' On On Back To You,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",1Taar5sR4NFefr5wU3Tb9v,https://p.scdn.co/mp3-preview/c26d3d6deb1702d9bae8cbf691f0e70b3e8fdc4a?cid=b8d3901151d34489a160e3cf0ab1fa94,137931.0,False,The Definitive Jackie Wilson,0.538,0.812,7.0,-3.803,0.0,0.0978,0.695,2.3e-05,0.529,0.877,80.406,4.0,25.0
11914,I'm Comin' OverChris Young,Chris Young,I'm Comin' Over,"['contemporary country', 'country', 'country road', 'modern country rock']",0H04yVa3DJxoXbLBpAb7iV,https://p.scdn.co/mp3-preview/d4330f6c438e7ea8665a6858c5aff50504a233b2?cid=b8d3901151d34489a160e3cf0ab1fa94,197280.0,False,I'm Comin' Over,0.5749999999999998,0.8449999999999999,10.0,-3.838,1.0,0.035,0.0282,0.0,0.0814,0.376,127.997,4.0,71.0
11915,I'm Coming HomeJohnny Mathis,Johnny Mathis,I'm Coming Home,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",6xfgwRJKa4poB9tZ0KZtXT,https://p.scdn.co/mp3-preview/f1e734d6a0b54689ec3c57912217b501bd8b5c79?cid=b8d3901151d34489a160e3cf0ab1fa94,204120.0,False,I'm Coming Home,0.534,0.4229999999999999,1.0,-12.948,1.0,0.0275,0.24,0.00018,0.136,0.452,133.556,4.0,16.0
